Name,Version,Date,Format,,,,,,,,,,,,,,,,
TACOT,3.0.3,1/21/21,FIAT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Virgin properties,,,,,Char properties,,,,,,Pyrolysis enthalpy,,,,Constant properties,,
Pressure(atm),Temperature(R),cp_virgin(BTU/lb/R),k_tt_virgin(BTU/(ft.s.R),emissivity_virgin(-),absorptivity_virgin(-),k_ip_virgin(BTU/(ft.s.R),cp_char(BTU/lb/R),k_tt_char(BTU/(ft.s.R),emissivity_char(-),absorptivity_char(-),k_ip_char(BTU/(ft.s.R),,Pressure(atm),Temperature(R),h_g(BTU/lb),,Type,4,Material type: pyrolysis and ablation
1.00E+00,4.60E+02,2.10E-01,6.38E-05,8.00E-01,8.00E-01,1.28E-04,1.75E-01,6.38E-05,9.00E-01,9.00E-01,1.28E-04,,1.00E+00,3.60E+02,-2.82E+03,,DH1 (BTU/lb),-368.51,Heat of fomation of virgin material
1.00E+00,5.36E+02,2.35E-01,6.46E-05,8.00E-01,8.00E-01,1.29E-04,1.87E-01,6.46E-05,9.00E-01,9.00E-01,1.29E-04,,1.00E+00,4.50E+02,-2.91E+03,,DH2 (BTU/lb),0,Heat of fomation of char material
1.00E+00,8.00E+02,3.10E-01,6.68E-05,8.00E-01,8.00E-01,1.34E-04,2.61E-01,6.68E-05,9.00E-01,9.00E-01,1.34E-04,,1.00E+00,5.36E+02,-2.94E+03,,DH3 (BTU/lb),0,Enthalpy offset for pyrolysis gas
1.00E+00,1.00E+03,3.50E-01,7.27E-05,8.00E-01,8.00E-01,1.45E-04,3.15E-01,7.27E-05,9.00E-01,9.00E-01,1.45E-04,,1.00E+00,6.30E+02,-2.95E+03,,TDH (R),536.4,Reference temperature for the heats of formation
1.00E+00,1.16E+03,3.75E-01,7.54E-05,8.00E-01,8.00E-01,1.51E-04,3.42E-01,7.54E-05,9.00E-01,9.00E-01,1.51E-04,,1.00E+00,7.20E+02,-2.94E+03,,GAMMA (-),0.5,Resin volume fraction
1.00E+00,1.50E+03,4.10E-01,7.80E-05,8.00E-01,8.00E-01,1.56E-04,4.00E-01,7.80E-05,9.00E-01,9.00E-01,1.56E-04,,1.00E+00,8.10E+02,-2.91E+03,,PHI (-),0.8,Porosity of the virgin material
1.00E+00,2.00E+03,4.45E-01,8.40E-05,8.00E-01,8.00E-01,1.68E-04,4.40E-01,8.40E-05,9.00E-01,9.00E-01,1.68E-04,,1.00E+00,9.00E+02,-2.87E+03,,RVI_1 (lb/ft3),18.728,Initial density of component 1
1.00E+00,2.50E+03,4.62E-01,8.99E-05,8.00E-01,8.00E-01,1.80E-04,4.70E-01,8.99E-05,9.00E-01,9.00E-01,1.80E-04,,1.00E+00,1.08E+03,-2.76E+03,,RCI_1 (lb/ft3),0,Residual density of component 1
1.00E+00,3.00E+03,4.73E-01,1.12E-04,8.00E-01,8.00E-01,2.24E-04,4.90E-01,9.71E-05,9.00E-01,9.00E-01,1.94E-04,,1.00E+00,1.26E+03,-2.56E+03,,AI_1 (1/s),1.20E+04,Pre-exponential factor for component 1
1.00E+00,3.50E+03,4.75E-01,1.40E-04,8.00E-01,8.00E-01,2.80E-04,5.00E-01,1.17E-04,9.00E-01,9.00E-01,2.34E-04,,1.00E+00,1.44E+03,-2.12E+03,,PSII_1 (-),3,Density factor exponent for component 1
1.00E+00,4.00E+03,4.78E-01,1.78E-04,8.00E-01,8.00E-01,3.56E-04,5.04E-01,1.48E-04,9.00E-01,9.00E-01,2.96E-04,,1.00E+00,1.62E+03,-1.38E+03,,EI_1 (R),15400,Activation temperature for reaction 1
1.00E+00,5.00E+03,4.80E-01,2.81E-04,8.00E-01,8.00E-01,5.62E-04,5.10E-01,2.34E-04,9.00E-01,9.00E-01,4.68E-04,,1.00E+00,1.80E+03,-9.02E+02,,TRACI_1 (R),600,Minimum temperature for reaction 1
1.00E+00,6.00E+03,4.80E-01,4.46E-04,8.00E-01,8.00E-01,8.92E-04,5.14E-01,3.72E-04,9.00E-01,9.00E-01,7.44E-04,,1.00E+00,2160,-520.54,,RVI_2 (lb/ft3),56.185,Initial density of component 2
,,,,,,,,,,,,,1.00E+00,2520,199.3,,RCI_2 (lb/ft3),37.457,Residual density of component 2
,,,,,,,,,,,,,1.00E+00,2880,1156.56,,AI_2 (1/s),4.48E+09,Pre-exponential factor for component 2
,,,,,,,,,,,,,1.00E+00,3240,1795.45,,PSII_2 (-),3,Density factor exponent for component 2
,,,,,,,,,,,,,1.00E+00,3600,2171.37,,EI_2 (R),36800,Activation temperature for reaction 2
,,,,,,,,,,,,,1.00E+00,4140,2745.48,,TRACI_2 (R),1000,Minimum temperature for reaction 2
,,,,,,,,,,,,,1.00E+00,4680,3515.84,,RVI_3 (lb/ft3),99.885,Initial density of component 3
,,,,,,,,,,,,,1.00E+00,5220,4690.04,,RCI_3 (lb/ft3),99.885,Residual density of component 3
