Name,Version,Date,Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TACOT,3.0.0,1/1/20,PATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Virgin properties,,,,,,,Char properties,,,,,,,,Constant properties,,,,,,,,,,,,,,,,,,,,,,
Pressure(Pa),Temperature(K),cp_virgin(J/kg/K),h_virgin(J/kg),ki_virgin(W/m/K),kj_virgin(W/m/K),kk_virgin(W/m/K),emissivity_virgin(-),absorptivity_virgin(-),cp_char(J/kg/K),h_char(J/kg),ki_char(W/m/K),kj_char(W/m/K),kk_char(W/m/K),emissivity_char(-),absorptivity_char(-),,nSolidPhases,2,number of solid phases,,,,,,,,,,,,,,,,,,,,
1.00E+06,2.56E+02,8.79E+02,-8.97E+05,3.98E-01,3.98E-01,3.98E-01,0.8,0.8,7.33E+02,-3.22E+04,3.98E-01,3.98E-01,3.98E-01,0.9,0.9,,rhoI[1] (kg/m3),1600, intrinsic density of the fibers,,,,,,,,,,,,,,,,,,,,
1.00E+06,2.98E+02,9.84E+02,-8.57E+05,4.03E-01,4.03E-01,4.03E-01,0.8,0.8,7.83E+02,0.00E+00,4.03E-01,4.03E-01,4.03E-01,0.9,0.9,,epsI[1] (-),0.1,volume fraction of the fibrous preform,,,,,,,,,,,,,,,,,,,,
1.00E+06,4.44E+02,1.30E+03,-6.90E+05,4.16E-01,4.16E-01,4.16E-01,0.8,0.8,1.09E+03,1.37E+05,4.16E-01,4.16E-01,4.16E-01,0.9,0.9,,rhoI[2] (kg/m3),1200, intrinsic density of the matrix,,,,,,,,,,,,,,,,,,,,
1.00E+06,5.56E+02,1.47E+03,-5.37E+05,4.53E-01,4.53E-01,4.53E-01,0.8,0.8,1.32E+03,2.71E+05,4.53E-01,4.53E-01,4.53E-01,0.9,0.9,,epsi[2] (-),0.1,volume fraction of the matrix,,,,,,,,,,,,,,,,,,,,
1.00E+06,6.44E+02,1.57E+03,-4.02E+05,4.70E-01,4.70E-01,4.70E-01,0.8,0.8,1.43E+03,3.94E+05,4.70E-01,4.70E-01,4.70E-01,0.9,0.9,,K_v (m2),(1.6e-11 0 0 0 1.6e-11 0 0 0 1.6e-11),virgin material permeability ,,,,,,,,,,,,,,,,,,,,
1.00E+06,8.33E+02,1.72E+03,-9.12E+04,4.86E-01,4.86E-01,4.86E-01,0.8,0.8,1.68E+03,6.87E+05,4.86E-01,4.86E-01,4.86E-01,0.9,0.9,,K_c (m2),(2e-11 0 0 0 2e-11 0 0 0 2e-11), char material permeability ,,,,,,,,,,,,,,,,,,,,
1.00E+06,1.11E+03,1.86E+03,4.06E+05,5.23E-01,5.23E-01,5.23E-01,0.8,0.8,1.84E+03,1.18E+06,5.23E-01,5.23E-01,5.23E-01,0.9,0.9,,eps_g_v,0.8,virgin material porosity,,,,,,,,,,,,,,,,,,,,
1.00E+06,1.39E+03,1.93E+03,9.33E+05,5.60E-01,5.60E-01,5.60E-01,0.8,0.8,1.97E+03,1.71E+06,5.60E-01,5.60E-01,5.60E-01,0.9,0.9,,eps_g_c,0.85,char material porosity,,,,,,,,,,,,,,,,,,,,
1.00E+06,1.67E+03,1.98E+03,1.48E+06,6.98E-01,6.98E-01,6.98E-01,0.8,0.8,2.05E+03,2.26E+06,6.05E-01,6.05E-01,6.05E-01,0.9,0.9,,Zx[C],0.206,Elemental composition of the pyrolysis gases (Carbon),,,,,,,,,,,,,,,,,,,,
1.00E+06,1.94E+03,1.99E+03,2.03E+06,8.72E-01,8.72E-01,8.72E-01,0.8,0.8,2.09E+03,2.84E+06,7.29E-01,7.29E-01,7.29E-01,0.9,0.9,,Zx[H],0.679,Elemental composition of the pyrolysis gases (Hydrogen),,,,,,,,,,,,,,,,,,,,
1.00E+06,2.22E+03,2.00E+03,2.58E+06,1.11E+00,1.11E+00,1.11E+00,0.8,0.8,2.11E+03,3.42E+06,9.22E-01,9.22E-01,9.22E-01,0.9,0.9,,Zx[O],115,Elemental composition of the pyrolysis gases (Oxygen),,,,,,,,,,,,,,,,,,,,
1.00E+06,2.78E+03,2.01E+03,3.70E+06,1.75E+00,1.75E+00,1.75E+00,0.8,0.8,2.14E+03,4.60E+06,1.46E+00,1.46E+00,1.46E+00,0.9,0.9,,F_1,0.25,Parameter of pyrolysis reaction 1,,,,,,,,,,,,,,,,,,,,
